C,u,r,t,i,s, ,A,r,m,s,t,r,o,n,g
J,o,n, ,C,h,r,i,s,t,o,f,a,r,i,s
A,u,g,g,i,e, ,S,m,i,t,h
T,h,o,m,a,s, ,D,o,l,b,y
T,a,i,t, ,F,l,e,t,c,h,e,r
M,a,t,t, ,N,e,w,e,l,l
B,o,b,b,y, ,L,e,e
M,a,x, ,H,o,l,l,o,w,a,y
N,a,t,e, ,C,o,r,d,d,r,y
D,r,., ,R,a,c,h,e,l, ,A,r,m,s,t,r,o,n,g
B,r,i,a,n, ,H,e,n,s,o,n
M,i,c,h,a,e,l, ,R,a,p,a,p,o,r,t
G,e,r,r,y, ,D,u,g,g,a,n
G,i,o,r,g,i,o, ,A,., ,T,s,o,u,k,a,l,o,s
R,o,b, ,C,a,n,t,r,e,l,l
D,o,u,g, ,L,e,m,o,v
G,r,e,g, ,K,i,n,n,e,a,r
M,a,t,t, ,K,i,n,g
I,r,a, ,M,a,d,i,s,o,n, ,I,I,I
A,m,b,e,r, ,N,a,s,h
K,e,n,n,y, ,A,u,s,u,b,e,l
J,e,n,n,i,f,e,r, ,A,a,k,e,r
A,.,J,., ,J,a,c,o,b,s
J,a,n,e, ,S,w,i,f,t
A,d,a,m, ,B,u,r,k,e
J,e,n,n,i,e, ,G,a,r,t,h
D,r,., ,S,t,e,v,e,n, ,N,o,v,e,l,l,a
t,h,e, ,L,e,g,e,n,d, ,o,f, ,A,n,g,e,l,y,n,e
D,a,r,c,i,a, ,N,a,r,v,a,e,z
P,e,r,i, ,G,i,l,p,i,n
T,i,m,o,t,h,y, ,D,e,L,a,G,h,e,t,t,o
C,h,r,i,s, ,B,e,r,k,a
R,a,m,i,t, ,S,e,t,h,i
V,i,r, ,D,a,s
C,h,i,e,f, ,K,e,e,f
B,o,b, ,P,r,o,v,i,n,e
D,a,n,i,c,a, ,M,c,K,e,l,l,a,r
D,e,a,n,n,a, ,C,h,e,n,g
J,a,y, ,E,l,l,i,s
V,i,r,g,i,n,i,a, ,G,i,l,b,e,r,t
A,n,t,h,o,n,y, ,M,a,c,k,i,e
R,a,n,d,y, ,S,k,l,a,r
G,e,o,r,g,e, ,M,o,n,b,i,o,t
N,e,a,l, ,P,o,l,l,a,c,k
B,e,n, ,A,c,k,e,r
G,r,a,h,a,m, ,C,l,a,r,k
N,a,t, ,F,a,x,o,n
J,a,y, ,L,a,r,s,o,n
M,i,c,h,a,e,l, ,B,r,o,w,n
A,n,d,y, ,Z,a,r,e,m,b,a
M,a,n,t,o,n, ,R,e,e,c,e
S,t,e,v,e, ,L,e,m,m,e
J,i,m, ,O,',H,e,i,r
S,t,e,p,h,e,n, ,"""",t,W,i,t,c,h,"""", ,B,o,s,s
M,i,c,h,a,e,l, ,R,o,s,a,s
W,i,l,l, ,A,r,n,e,t,t
S,h,a,n,e, ,D,a,w,s,o,n
J,e,s,s,i,c,a, ,M,o,r,e,y
L,o,y,i,s,o, ,G,o,l,a
J,a,c,k, ,Q,u,a,i,d
B,o,b, ,L,o,o,m,i,s
J,i,l,l,i,a,n, ,M,i,c,h,a,e,l,s
J,o,s,h, ,N,a,s,a,r
A,n,d,r,e,a, ,L,o,w,e,l,l
K,e,l,l,y, ,O,x,f,o,r,d
J,o,r,d,a,n, ,P,e,e,l,e
Y,a,s,m,i,n,e, ,M,o,h,a,m,m,e,d
J,a,i,r,e,k, ,R,o,b,b,i,n,s
P,n,B, ,R,o,c,k
P,a,t,r,i,c,k,S,t,a,r,r,r
C,h,r,i,s,t,y, ,F,o,r,d, ,C,h,a,p,i,n
D,r, ,R,i,c,k, ,H,a,n,s,o,n
V,i,c,t,o,r, ,V,a,r,n,a,d,o
L,i,n,s,a,y, ,R,o,u,s,s,e,a,u, ,B,u,r,n,e,t,t
T,a,y,l,o,r, ,T,o,m,l,i,n,s,o,n
G,r,e,g, ,L,o,n,g,s,t,r,e,e,t
L,e,n,n,y, ,J,a,c,o,b,s,o,n
M,i,c,h,e,l,l,e, ,M,a,l,k,i,n
J,.,K,., ,S,i,m,m,o,n,s
J,a,m,e,s, ,R,i,c,k,a,r,d,s
S,i,m,o,n, ,K,i,n,g
K,a,t, ,V,o,n, ,D
A,l,f,r,e,d, ,M,o,l,i,n,a
A,n,d,r,e,w, ,D,i,c,e, ,C,l,a,y
W,a,l,t,o,n, ,G,o,g,g,i,n,s
D,r,., ,J,u,d,s,o,n, ,B,r,e,w,e,r
L,e,g,e,n,d,s, ,G,e,o,r,g,e, ,W,a,l,l,a,c,e
M,i,c,h,a,e,l, ,W,o,o,d, ,J,r,.
B,r,a,n,d,o,n, ,G,i,b,s,o,n
M,i,c,h,a,e,l, ,B,e,l,o,n,g,i,a
F,a,r,l,e,y, ,E,l,l,i,o,t,t
M,i,c,h,a,e,l, ,S,h,u,m,a,n
B,a,r,n,e,y, ,F,r,a,n,k
B,r,i,a,n, ,M,c,D,a,n,i,e,l
J,u,l,i,a,n, ,K,e,i,t,h
I,a,n, ,H,a,n,e,y,-,L,ó,p,e,z
A,m,y, ,L,a,m
A,n,d,r,e,w, ,S,c,h,u,l,z
S,i,r, ,R,i,c,h,a,r,d, ,B,r,a,n,s,o,n
E,m,i,l,y, ,G,o,r,d,o,n
M,a,t,t, ,T,a,i,b,b,i
E,m,i,l,i,a, ,B,a,r,r,o,s,s,e
S,t,e,e,l,e, ,S,a,u,n,d,e,r,s
M,a,t,t, ,B,a,k,e,r
A,m,y, ,S,e,d,a,r,i,s
S,t,e,v,e, ,B,a,l,l,m,e,r
S,e,r,g,i,o, ,M,a,g,a,ñ,a
S,a,n, ,F,e,r,m,i,n
P,a,t,r,i,k, ,W,i,n,c,e,n,t
K,a,t,h,r,y,n
P,., ,J,., ,O,',R,o,u,r,k,e
M,i,c,k, ,B,e,t,a,n,c,o,u,r,t
M,e,c,h,a,d, ,B,r,o,o,k,s
P,a,u,l, ,T,., ,M,u,r,r,a,y
M,i,c,k, ,W,e,s,t
D,e,a,n, ,H,a,g,l,u,n,d
J,o,h,n, ,H,e,n,s,o,n
T,i,m, ,U,r,b,a,n
M,i,c,h,a,e,l, ,C,e,r,a
K,h,a,l,i,l, ,R,a,f,a,t,i
N,a,y,y,e,r,a, ,H,a,q
D,r,., ,M,i,c,h,a,e,l
T,y,l,e,r, ,R,a,b,b,i,t
M,i,c,h,a,e,l, ,N,u,t,t,e,r
J,a,m,e,s, ,L,i,n,d,s,a,y
M,i,k,e, ,O,',C,o,n,n,e,l,l
T,r,a,v,i,s, ,B,r,o,w,n,e
S,t,e,p,h,e,n, ,M,a,n,s,f,i,e,l,d
B,r,a,n,d,t, ,T,o,b,l,e,r
M,a,r,k, ,N,o,r,m,a,n,d
B,e,t,s,y, ,W,o,o,d,r,u,f,f
A,d,a,m, ,S,e,r,w,e,r
C,r,i,s,t,e,l,a, ,A,l,o,n,z,o
A,l,i, ,F,a,z,a,l
G,l,e,n,n, ,F,l,e,i,s,h,m,a,n
M,a,r,y, ,K,a,y, ,H,e,n,r,y
J,e,f,f, ,L,e,a,k
A,s,h,l,e,e, ,V,a,n,c,e
A,p,r,i,l, ,R,i,c,h,a,r,d,s,o,n
N,e,w, ,Y,o,r,k
J,a,m,e,s, ,B,e,s,h,a,r,a
L,a,m,a,r, ,W,o,o,d,s
C,a,t,h,o,l,i,c, ,C,r,u,s,a,d,e,r
A,s,h,l,e,y, ,S,n,o,w, ,M,a,c,o,m,b,e,r
A,d,o,r,e, ,D,e,l,a,n,o
W,a,r, ,M,a,c,h,i,n,e
A,r,t,h,u,r, ,B,r,o,o,k,s
D,a,v,i,d, ,R,o,t,h,k,o,p,f
Z,a,c,k, ,F,o,r,d
F,r,a,n,k, ,O,z
J,a,i,m,i,e, ,A,l,e,x,a,n,d,e,r
D,a,v,i,d, ,G,r,e,g,o,r,y
B,r,i,a,n, ,M,o,o,t,e
V,a,n,e,s,s,a, ,R,e,i,s,e,n
W,W,E, ,S,u,p,e,r,s,t,a,r, ,S,h,e,a,m,u,s
C,h,l,o,e, ,H,i,l,l,i,a,r,d
D,a,n
S,c,o,t,t, ,A,d,s,i,t
T,h,e, ,T,r,a,i,l,e,r, ,P,a,r,k, ,B,o,y,s
L,o,u, ,D,i,a,m,o,n,d, ,P,h,i,l,l,i,p,s
G,i,l,l,i,a,n, ,A,n,d,e,r,s,o,n
J,e,n,n, ,H,y,m,a,n
C,h,r,i,s, ,W,e,i,t,z
D,r,., ,J,a,s,o,n, ,F,u,n,g
S,e,i,z,u,r,e, ,K,a,i,s,e,r
K,a,y,a, ,J,o,n,e,s
L,e,w,i,s, ,F,r,o,m, ,U,n,b,o,x, ,T,h,e,r,a,p,y
M,a,r,g,a,r,e,t, ,H,o,o,v,e,r
M,o,l,l,y, ,G,a,l,b,r,a,i,t,h
K,a,t,e, ,S,p,a,d,e
J,o,s,h, ,W,o,l,f
K,e,v,i,n, ,J,o,h,n,s,o,n
A,n,a,h,a,t,a
D,o,n, ,C,h,e,a,d,l,e
A,j
D,o,n, ,B,o,u,d,r,e,a,u,x
J,o,s,h, ,O,l,i,n
A,r,s,e,n,i,o
E,l,i,z,a, ,D,u,s,h,k,u
C,a,i,t,l,i,n, ,D,o,u,g,h,t,y
F,r,a,n,k, ,M,i,r
O,m,e,r, ,A,z,i,z
F,r,e,d,r,i,k, ,W,i,k,i,n,g,s,s,o,n
S,h,a,u,n, ,P,h,i,l,l,i,p,s
D,r,e,w, ,M,o,n,s,o,n
D,e,n,n,i,s, ,P,a,i,g,e
M,u,s,c,l,e,s, ,R,i,p,l,e,y
M,i,c,k, ,F,o,l,e,y
R,o,b,y,n,n, ,M,c,C,a,r,t,h,y
L,a,u,r,a, ,P,r,a,n,g,l,e,y
D,e,v,o,n, ,W,a,l,k,e,r
N,e,i,l, ,B,e,r,k,e,l,e,y
H,a,r,r,y, ,D,e,a,n, ,S,t,a,n,t,o,n
Q
L,y,n,e,t,t,e, ,C,a,r,o,l,l,a
J,a,k,e, ,W,e,i,s,m,a,n
E,m,m,a, ,B,l,a,c,k,e,r,y
D,a,n,i,e,l, ,K,e,l,l,i,s,o,n
N,a,r,d,u, ,D,e,b,r,a,h
S,c,H,o,o,l,b,o,y, ,Q
J,e,n,n,i,f,e,r, ,B,r,i,n,e,y
A,l,e,s,s,a,n,d,r,a, ,T,o,r,r,e,s,a,n,i
J,e,r,e,m,y, ,H,o,r,n, ,E,l,i,t,e
C,a,i,t,l,i,n, ,D,u,r,a,n,t,e
P,a,t,r,i,c,k, ,W,a,l,s,h
P,a,t,r,i,c,k, ,P,o,w,e,r,s
G,l,i,t,t,e,r, ,G,o,d,d,e,s,s
J,a,m,e,s, ,P,e,n,n,e,r
C,a,r,l,o,s, ,M,e,n,c,i,a
B,o,b, ,S,u,t,t,o,n
G,e,n,e, ,O,',N,e,i,l,l
A,n,t,h,o,n,y, ,R,a,p,p
P,e,w,D,i,e,P,i,e
K,e,l,l,e,e, ,S,a,n,t,i,a,g,o
B,e,n, ,S,c,h,w,a,r,t,z
L,a,u,r,e,n, ,S,o,u,t,h,e,r,n
G,r,e,g, ,B,a,r,r,i,s
J,i,m, ,O,', ,H,e,i,r
R,i,c,h,a,r,d, ,E,n,g,e,l
E,m,i,l,y, ,H,o,r,n
A,n,d,r,e,w, ,G,e,l,m,a,n
S,a,l, ,M,a,s,a,k,e,l,a
C,h,r,i,s, ,M,a,r,c,u,s
I,c,e, ,C,u,b,e
S,t,e,v,e,n, ,W,e,b,e,r
D,a,n,i,e,l
E,r,i,k,a, ,E,n,d,e,r
A,n,d,r,e,a, ,R,o,m,a,n,o
L,l,o,y,d, ,E,v,a,n,s
C,h,r,y,s,t,i,n,e, ,T,r,o,o,i,e,n
S,t,e,v,e, ,E,l,l,s
M,i,k,e, ,O,l,s,o,n
P,a,u,l, ,A,d,e,l,s,t,e,i,n
M,a,r,t,h,a, ,K,e,l,l,y
S,i,m,p,s,o,n,s, ,w,r,i,t,e,r
F,r,a,n,k, ,B,l,a,k,e
E,l,l,e, ,S,t,a,n,g,e,r
N,o,l,a,n, ,G,o,u,l,d
C,o,o,p,e,r, ,B,e,c,k,e,t,t
F,a,r,r,a,h, ,A,b,r,a,h,a,m,',s, ,M,o,m
J,e,f,f, ,L,e,a,k,e
A,n,a,s,t,a,c,i,a
D,a,v,i,d, ,R,e,e,s
D,r,., ,L,l,a,m,a,s
A,s,h,l,y, ,P,e,r,e,z
R,y,a,n, ,F,l,y,n,n
J,e,n,n,a, ,E,l,f,m,a,n
J,C, ,C,o,c,c,o,l,i
L,u,c,i,e,n, ,G,r,e,a,v,e,s
A,n,d,y, ,D,a,l,y
B,r,u,c,e, ,M,e,y,e,r
K,a,m,a,l, ,R,a,v,i,k,a,n,t
G,o,v,e,r,n,o,r, ,A,n,d,r,e,w, ,C,u,o,m,o
L,y,n,d,o,n, ,R,i,v,e
D,a,n,n,y, ,M,e,y,e,r
D,e,v,o,n, ,L,o,u,g,h,e,e,d
M,a,c, ,F,a,u,l,k,n,e,r
D,a,v,i,d, ,H,o,r,o,w,i,t,z
T,e,r,r,y, ,M,o,e
T,h,e, ,D,u,d,i,c,l,e
T,i,m, ,H,o,w,a,r,d
M,a,r,g,a,r,i,t,a, ,L,e,v,i,e,v,a
T,i,m,m,y, ,H,o,l,l,o,w,a,y
J,a,s,o,n, ,N,a,s,h
F,l,i,p, ,S,c,h,u,l,t,z
S,h,l,o,m,o, ,M,c,P,e,a,k,e
D,e,b,r,a, ,"""",D,e,b,z, ,O,G,"""", ,D,a,n,i,e,l,s,o,n
A,l,e,x, ,B,l,u,m,b,e,r,g
P,h,i,l,i,p, ,M,u,d,d
S,a,l,l,y, ,F,i,e,l,d
J,u,d,i,t,h, ,D,o,n,a,t,h
H,a,r,r,y, ,B,a,s,i,l
T,o,n,y, ,H,s,i,e,h
S,e,a,n, ,D,o,n,n,e,l,l,y
F,r,a,n,k, ,R,o,b,i,n,s,o,n
J,o,h,n,n,y, ,C,., ,T,a,y,l,o,r
S,t,e,p,h,e,n, ,C,o,l,b,e,r,t
J,e,f,f, ,C,a,n,n,a,t,a
K,e,l,l,a,n, ,L,u,t,z
t,h,e,i,r, ,M,o,m,s
T,h,e, ,B,r,e,e,d,e,r,s,', ,K,i,m, ,D,e,a,l
A,d,a,m, ,R,i,c,h,m,a,n
J,e,n, ,Z,a,b,r,o,w,s,k,i
M,a,t,t, ,O,r,n,s,t,e,i,n
J,o,h,n, ,S,t,a,m,o,s
M,i,k,e, ,A,d,a,m,s
A,l,l,e,g,r,a, ,R,i,n,g,o
S,o,m,a,n, ,C,h,a,i,n,a,n,i
A,l,l,i,s,o,n, ,K,i,l,k,e,n,n,y
K,i,m,b,e,r,l,y, ,H,é,b,e,r,t, ,G,r,e,g,o,r,y
M,i,c,h,a,e,l, ,C,h,e
R,o,s,e, ,L,l,e,s,h,i
J,o,s,e,l,y,n, ,H,u,g,h,e,s
L,e,s,l,i,e, ,E,l,l,i,s
A,p,p,l,e, ,T,a,r,t,s
G,r,e,g, ,B,e,n,n,e,t,t
S,a,m, ,H,a,r,r,i,s
C,a,p,t,., ,C,h,a,r,l,i,e, ,P,l,u,m,b
M,o,t,i,o,n, ,C,i,t,y, ,S,o,u,n,d,t,r,a,c,k
D,a,m,o,n, ,W,a,y,a,n,s, ,J,r,.
C,o,w,h,e,a,d
S,t,e,p,h,e,n, ,C,h,b,o,s,k,y
J,o,h,n, ,M,c,G,i,n,l,e,y
G,l,o,r,i,a, ,M,a,t,t,i,o,n,i
A,n,d,r,e,w, ,F,r,a,m,e
S,t,e,p,h,a,n,i,e, ,W,i,t,t,e,l,s, ,W,a,c,h
N,i,c,k, ,N,o,l,t,e
K,r,i,s,t,e,n, ,S,c,h,a,a,l
S,p,r,i,n,k,l,e
E,i,l,e,e,n, ,F,i,s,h,e,r
P,a,u,l, ,B,r,i,t,t,a,i,n
D,a,v,i,d, ,H,u,n,t,s,b,e,r,g,e,r
A,n,d,r,e,w, ,S,t,., ,J,o,h,n
M,i,r, ,I,m,r,a,n
S,u,s,a,n, ,D,e,s,m,o,n,d,-,H,e,l,l,m,a,n,n
S,t,e,p,h,a,n,i,e, ,C,o,u,r,t,n,e,y
P,e,t,e,r,s,o,n
J,e,s,s,i,c,a, ,A,h,l,q,u,i,s,t
J,o,n,a,t,h,a,n, ,S,k,i,n,n,e,r
A,n,d,r,e,w, ,T,i
A,l,e,x, ,E,d,e,l,m,a,n
J,u,l,i,e, ,B,o,r,o,w,s,k,i
E,t,h,a,n, ,N,a,d,e,l,m,a,n,n
E,m,a,n, ,E,l,-,H,u,s,s,e,i,n,i
M,i,c,h,a,e,l, ,P,a,t,r,i,c,k, ,K,i,n,g
B,r,o,n,s,t,o,n, ,J,o,n,e,s
C,o,m,i,n,g, ,s,o,o,n
S,i,o,b,h,a,n, ,T,h,o,m,p,s,o,n
T,o,d,d, ,P,h,i,l,l,i,p,s
R,i,c,h,a,r,d, ,A,., ,C,l,a,r,k,e
L,i,n,d,s,e,y, ,S,t,i,r,l,i,n,g
J,o,s,i,a,h, ,O,b,e,r
M,a,r,t,h,a, ,P,l,i,m,p,t,o,n
P,o,s,t, ,M,a,l,o,n,e
A,r,d,e,n, ,M,y,r,i,n
E,l,i,z,a,b,e,t,h, ,O,l,s,e,n
J,i,m,m,y, ,W,a,l,e,s
S,e,b,a,s,t,i,a,n
J,a,m,e,s, ,T,h,o,m,p,s,o,n
D,r,e,w, ,M,o,r,g,a,n
D,a,v,e, ,F,r,e,e
J,o,h,n, ,F,u,g,e,l,s,a,n,g
E,m,i,l,y, ,B,a,x,t,e,r
E,d,w,a,r,d, ,M,c,G,o,v,e,r,n, ,I,I,I
M,i,n,g,y,u,r, ,R,i,n,p,o,c,h,e
J,a,n,i,c,e, ,F,r,a,s,e,r
R,a,j,a, ,M,i,c,h,e,l,l,e
Q,u,i,n,c,y, ,J,o,n,e,s
L,i,z,z,i,e, ,M,o,l,y,n,e,u,x
S,a,m, ,R,e,i,c,h
Y,v,o,n, ,C,h,o,u,i,n,a,r,d
M,a,i,k,a, ,M,o,n,r,o,e
S,t,e,v,e, ,C,o,o,g,a,n
J,i,m, ,F,a,d,i,m,a,n
A,n,t,o,n,i,a, ,O,k,a,f,o,r
S,p,e,n,c,e,r, ,C,r,i,t,t,e,n,d,e,n
S,a,r,a,h, ,P,u,l,l,i,a,m, ,B,a,i,l,e,y
B,r,y,a,n, ,C,u,r,t,i,s
M,i,k,e, ,M,a,l,o,n,e,y
P,a,t, ,K,e,a,n,e
J,o,h,n, ,L,e,w,i,s
B,o,b, ,N,e,w,t,o,n
L,a,u,r,a, ,B,a,i,l,e,y
M,i,c,h,a,e,l, ,M,c,D,o,n,a,l,d
R,i,c,h,a,r,d, ,B,e,t,t,s
B,i,l,l,y, ,G,a,r,d,e,l,l
J,o,n,a,t,h,a,n, ,F,i,e,l,d,s
L,e,o, ,K,a,t,z
E,l,e,a,n,o,r, ,K,e,r,r,i,g,a,n
M,i,c,h,a,e,l, ,S,h,a,n,n,o,n
C,o,l,i,n, ,B,e,a,v,a,n
R,i,c,h,a,r,d, ,L,e,w,i,s
C,a,t,h,e,r,i,n,e, ,P,o,w,e,r,s
A,i,d,a,n, ,R,a,l,e,y
N,a,t,a,l,i,e, ,S,t,a,r,k,e,y
K,e,v,i,n, ,G,r,e,e,n
C,o,r,n, ,M,o
A,n,n,i,e, ,M,i,t,h,o,e,f,e,r
P,a,t, ,D,i,x,o,n
W,o,o,d,y, ,H,a,r,r,e,l,s,o,n
C,a,s,s, ,R,., ,S,u,n,s,t,e,i,n
A,l,f,o,n,z,o, ,R,a,c,h,e,l
M,i,c,h,a,e,l, ,G,a,r,f,i,e,l,d
B,i,l,l, ,R,a,s,m,u,s,s,e,n
S,a,m, ,K,i,e,f,f,e,r
M,a,t,t, ,J,o,n,e,s
S,u,l,t,r,y, ,S,w,e,e,t, ,B,u,r,l,e,s,q,u,e
J,o,n,a,t,h,a,n, ,D,a,n,i,e,l, ,B,r,o,w,n
K,e,r,r,y,n, ,F,e,e,h,a,n
N,a,o,m,i,e, ,H,a,r,r,i,s
W,a,n,d,a, ,S,y,k,e,s
D,a,v,e, ,G,i,l,b,o,a
E,d,d,i,e, ,D,e,e,z,e,n
C,h,r,i,s, ,K,e,l,l,y
D,r,., ,J,a,n,e, ,G,o,o,d,a,l,l
A,l,e,x,i,s, ,G,u,e,r,r,e,r,o,s
M,a,d,e,l,i,n,e
D,a,n, ,P,i,n,k
R,e,z,a, ,A,s,l,a,n
D,a,n,i,e,l, ,P,i,n,c,h,b,e,c,k
J,o,j,o, ,S,u,t,h,e,r,l,a,n,d
S,a,l,l,y, ,B,r,o,o,k,s
J,o,n,a,t,h,a,n, ,T,j,a,r,k,s
T,h,e,o, ,V,o,n
D,o,n, ,R,o,s,e
E,m,i,l,y, ,V,., ,G,o,r,d,o,n
H,i,l,a, ,K,l,e,i,n
E,s,t,h,e,r, ,K,u
M,i,r,a
C,u,b, ,S,w,a,n,s,o,n
R,a,o,u,l
A,l,l,y,s,o,n, ,G,r,e,y
J,o,s,h, ,J,o,h,n,s,o,n
T,o,m,m,y, ,R,o,b,i,n,s,o,n
D,e,i,r,d,r,e, ,M,c,C,l,o,s,k,e,y
C,h,u,c,k, ,B,r,y,a,n,t
M,J
O,l,i,v,e,r, ,S,t,o,n,e
L,a,u,r,e,n, ,C,o,h,a,n
S,a,r,a,h, ,C,h,a,l,k,e
A,l,i, ,W,o,n,g
S,a,r,a, ,R,e,i,h,a,n,i
J,a,c,k,i,e, ,K,o,p,p,e,l,l
C,a,r,l,a, ,D,a,u,d,e,n
E,r,y,n, ,A,l,l,e,n, ,K,a,n,e
H,e,l,e,n, ,Z,a,l,t,z,m,a,n
M,a,r,k, ,E,p,s,t,e,i,n
P,a,u,l, ,S,t,a,m,e,t,s
L,a,w,r,e,n,c,e, ,O,',D,o,n,n,e,l,l
D,a,n,i,e,l,l,e, ,B,r,o,o,k,s
T,e,r,r,y, ,J,i,n,g,l,e,s
i,D,u,b,b,b,z,T,V
A,n,d,r,é,e, ,V,e,r,m,e,u,l,e,n
R,a,c,h,e,l,e, ,B,r,o,o,k,e, ,S,m,i,t,h
A,n,d,r,e,w, ,R,y,a,n
P,a,t,r,i,c,k, ,T,., ,G,o,r,m,a,n
G,e,o,r,g,i,a, ,H,a,r,d,s,t,a,r,k
C,l,i,f,t,o,n, ,C,o,l,l,i,n,s, ,J,r,.
P,r,i,y,a,n,k,a, ,C,h,o,p,r,a
K,r,i,s,t,e,n, ,D,o,u,t,e
J,e,n,n,i,f,e,r, ,J,a,s,o,n, ,L,e,i,g,h
D,r,e,w, ,M,c,W,e,e,n,y
H,u,g,h, ,F,i,t,z,g,e,r,a,l,d
J,a,s,o,n, ,W,h,i,t,l,o,c,k
J,e,n,n, ,S,t,e,r,g,e,r
L,a,s, ,V,e,g,a,s
M,i,c,h,a,e,l, ,F,o,u,l,k
M,a,r,y, ,L,y,n,n, ,R,a,j,s,k,u,b
T,y,l,e,r, ,O,a,k,l,e,y
C,h,a,r,l,e,s, ,C,., ,J,o,h,n,s,o,n
W,i,l,l,i,a,m, ,H,., ,M,a,c,y
T,i,m, ,R,o,t,h
K,a,t,h,e,r,i,n,e, ,R,y,a,n
S,e,a,n, ,C,l,e,m,e,n,t,s
I,s,a,i,a,h, ,T,h,o,m,a,s
W,h,o, ,S,a,i,d, ,T,h,a,t,?
M,i,c,h,a,e,l, ,S,t,e,e,l,e
"""",W,e,i,r,d, ,A,l,"""", ,Y,a,n,k,o,v,i,c
B,r,i,a,n, ,M,c,K,i,m
P,a,t, ,B,a,r,k,e,r
P,r,o,d,u,c,e,r,s, ,O,f, ,C,o,w,s,p,i,r,a,c,y
N,o,a,h, ,H,a,r,p,s,t,e,r
J,u,s,t,i,n, ,M,a,r,t,i,n,d,a,l,e
S,t,e,v,e, ,H,o,f,s,t,e,t,t,e,r
J,o,s,h, ,M,a,k,o,w,e,r
T,h,e, ,S,k,l,a,r, ,B,r,o,s
C,h,a,p,l,i,n
M,i,c,h,a,e,l, ,M,a,l,i,c,e
P,h,o,e,b,e, ,R,o,b,i,n,s,o,n
H,a,r,r,i,s, ,S,t,a,n,t,o,n
F,e,r,d,i,n,a,n,d,o, ,B,u,s,c,e,m,a
C,r,a,i,g, ,R,o,b,i,n,s,o,n
B,e,n, ,B,l,a,c,k,e,r, ,R,e,t,u,r,n
G,i,n,g,e,r, ,G,o,n,z,a,g,a
L,a,i,n,a, ,M,o,r,r,i,s
T,w,e,n,t,y,8,8
F,r,i,e,n,d,s
B,i,l,l,y, ,C,r,u,d,u,p
A,d,r,i,e,n,n,e, ,I,a,p,a,l,u,c,c,i
6,L,A,C,K
L,a,r,r,y, ,S,u,m,m,e,r,s
S,i,l,i,c,o,n, ,V,a,l,l,e,y
W,a,l,l,y, ,T,h,u,r,m,a,n
C,h,r,i,s,s,i,e, ,M,a,y,r
S,t,e,f,a,n, ,S,z,y,m,a,n,s,k,i
L,i,n, ,M,a,n,u,e,l, ,M,i,r,a,n,d,a
R,O,M,A, ,1,6
K,e,a,n,u, ,R,e,e,v,e,s
R,o,n,d,a, ,R,o,u,s,e,y
A,r,o,n,i,m,a
G,o,v,i,n,d, ,D,a,s
R,i,c,h,a,r,d, ,D,a,w,k,i,n,s
B,r,e,t,t, ,C,r,o,s,b,y
M,a,r,t,y, ,L,a,q,u,i,d,a,r,a
C,h,a,u,n,t,e,́, ,W,a,y,a,n,s
D,e,v,i,n, ,F,i,e,l,d
J,a,n,e,a,n,e, ,G,a,r,o,f,a,l,o
D,r,., ,T,o,m, ,O,',B,r,y,a,n
